top - 15:02:04 up  3:06,  1 user,  load average: 0.15, 0.36, 0.58
Tasks: 254 total,   1 running, 252 sleeping,   1 stopped,   0 zombie
%Cpu(s):  4.3 us,  2.9 sy,  0.0 ni, 92.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7882.5 total,    215.0 free,   5098.6 used,   2568.9 buff/cache
MiB Swap:    976.0 total,    963.0 free,     13.0 used.   1976.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1472 dhruv     20   0 4606512 266900 113864 S   5.9   3.3   4:18.38 gnome-shell
   5018 dhruv     20   0  563672  54312  41320 S   5.9   0.7   0:42.89 gnome-terminal-
   9542 dhruv     20   0   21868   3840   3244 R   5.9   0.0   0:00.02 top
      1 root      20   0  166944  11992   8092 S   0.0   0.1   0:02.58 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      6 root      20   0       0      0      0 I   0.0   0.0   0:03.32 kworker/0:0-kacpi_notify
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.25 ksoftirqd/0
     14 root      20   0       0      0      0 I   0.0   0.0   0:10.04 rcu_sched
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.06 migration/0
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.22 migration/1
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.21 ksoftirqd/1
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.23 migration/2
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftirqd/2
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     32 root      rt   0       0      0      0 S   0.0   0.0   0:00.24 migration/3
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.39 ksoftirqd/3
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-events_highpri
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungtaskd
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     42 root      20   0       0      0      0 S   0.0   0.0   0:02.92 kcompactd0
     43 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     44 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
